staff_id,department,doctor_name,gender,qualifications,email,phone,specialization,shift_start,shift_end,work_days,shift_type,slot_duration,max_patients
DOC001,Women's Care (Obstetrics & Gynaecology),Dr. Ann Thampi,Female,"MBBS, MS",drannthampi@bmh.com,+91 9041399570,Women's Care (Obstetrics & Gynaecology),06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC002,Cardiology,Dr. Leelamma Siddique,Female,"MBBS, MD, DM",drleelammasiddique@bmh.com,+91 7423161877,Cardiology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC003,Gastroenterology,Dr. Anupama Varghese,Female,"MBBS, MD, DM",dranupamavarghese@bmh.com,+91 8688423165,Gastroenterology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC004,Emergency,Dr. Antony Warrier,Male,"MBBS, MS",drantonywarrier@bmh.com,+91 9038855545,Emergency,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC005,General Surgery,Dr. Varghese Kurup,Male,"MBBS, MD",drvarghesekurup@bmh.com,+91 8653682390,General Surgery,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC006,Urology,Dr. Kavya Joseph,Female,"MBBS, MD",drkavyajoseph@bmh.com,+91 8314461034,Urology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC007,Ophthalmology,Dr. Remya Thampi,Female,"MBBS, MS",drremyathampi@bmh.com,+91 8903290213,Ophthalmology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC008,Pulmonology,Dr. Manu Abraham,Male,"MBBS, MD",drmanuabraham@bmh.com,+91 7623668883,Pulmonology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC009,Critical Care,Dr. Arjun Cherian,Male,"MBBS, MD",drarjuncherian@bmh.com,+91 9785613875,Critical Care,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC010,General Medicine,Dr. Faisal Chacko,Male,"MBBS, MD",drfaisalchacko@bmh.com,+91 9425657966,General Medicine,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC011,Endocrinology,Dr. Aiswarya Pillai,Female,"MBBS, MD",draiswaryapillai@bmh.com,+91 9451642434,Endocrinology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
