staff_id,department,nurse_name,gender,qualifications,email,phone,shift_start,shift_end,work_days,shift_type
NUR001,ENT,Nurse Mary Panicker,Female,B.Sc Nursing,nursemarypanicker@bmh.com,+91 7691490943,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR002,Orthopaedics,Nurse Mariamma Chacko,Female,B.Sc Nursing,nursemariammachacko@bmh.com,+91 8416355777,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR003,Women's Care (Obstetrics & Gynaecology),Nurse Dhanya Eapen,Female,B.Sc Nursing,nursedhanyaeapen@bmh.com,+91 7535978185,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR004,Anaesthesiology,Nurse Devika Faisal,Female,B.Sc Nursing,nursedevikafaisal@bmh.com,+91 8353630174,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR005,General Medicine,Nurse Mary Hashim,Female,B.Sc Nursing,nursemaryhashim@bmh.com,+91 9601272016,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR006,Critical Care,Nurse Devika Varghese,Female,B.Sc Nursing,nursedevikavarghese@bmh.com,+91 9147143705,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR007,Neurosciences,Nurse Leelamma Varghese,Female,B.Sc Nursing,nurseleelammavarghese@bmh.com,+91 7789059803,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR008,Urology,Nurse Mary Samuel,Female,B.Sc Nursing,nursemarysamuel@bmh.com,+91 9765354526,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR009,ENT,Nurse Rahul Philip,Male,B.Sc Nursing,nurserahulphilip@bmh.com,+91 9389880643,15:00,23:00,"Tue,Wed,Thu,Fri,Sat",Evening
NUR010,Endocrinology,Nurse Antony Hashim,Male,B.Sc Nursing,nurseantonyhashim@bmh.com,+91 7192206853,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR011,Oncology,Nurse Nithin Philip,Male,B.Sc Nursing,nursenithinphilip@bmh.com,+91 7344670380,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR012,Endocrinology,Nurse Sumayya Philip,Female,B.Sc Nursing,nursesumayyaphilip@bmh.com,+91 8456806087,15:00,23:00,"Tue,Wed,Thu,Fri,Sat",Evening
NUR013,Pulmonology,Nurse Thomas Faisal,Male,B.Sc Nursing,nursethomasfaisal@bmh.com,+91 7120618302,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
NUR014,Pathology,Nurse Sophy Kurup,Female,B.Sc Nursing,nursesophykurup@bmh.com,+91 7016366660,07:00,15:00,"Mon,Tue,Wed,Thu,Fri",Morning
